fips_code,county,state,customers_out,run_start_time
12015,Charlotte,Florida,19,2022-09-26 04:00:00
12017,Citrus,Florida,4,2022-09-26 04:00:00
12021,Collier,Florida,63,2022-09-26 04:00:00
12033,Escambia,Florida,1,2022-09-26 04:00:00
12071,Lee,Florida,3,2022-09-26 04:00:00
12073,Leon,Florida,3,2022-09-26 04:00:00
12083,Marion,Florida,6,2022-09-26 04:00:00
12085,Martin,Florida,1,2022-09-26 04:00:00
12086,Miami-Dade,Florida,71,2022-09-26 04:00:00
12093,Okeechobee,Florida,1,2022-09-26 04:00:00
12095,Orange,Florida,38,2022-09-26 04:00:00
12097,Osceola,Florida,1,2022-09-26 04:00:00
12099,Palm Beach,Florida,60,2022-09-26 04:00:00
12101,Pasco,Florida,1,2022-09-26 04:00:00
12103,Pinellas,Florida,2971,2022-09-26 04:00:00
12115,Sarasota,Florida,3,2022-09-26 04:00:00
12117,Seminole,Florida,225,2022-09-26 04:00:00
12111,St. Lucie,Florida,66,2022-09-26 04:00:00
12009,Brevard,Florida,29,2022-09-26 04:15:00
12011,Broward,Florida,58,2022-09-26 04:15:00
12015,Charlotte,Florida,19,2022-09-26 04:15:00
12021,Collier,Florida,63,2022-09-26 04:15:00
12071,Lee,Florida,1,2022-09-26 04:15:00
12073,Leon,Florida,3,2022-09-26 04:15:00
12083,Marion,Florida,6,2022-09-26 04:15:00
12085,Martin,Florida,1,2022-09-26 04:15:00
12086,Miami-Dade,Florida,71,2022-09-26 04:15:00
12093,Okeechobee,Florida,1,2022-09-26 04:15:00
12095,Orange,Florida,38,2022-09-26 04:15:00
12097,Osceola,Florida,1,2022-09-26 04:15:00
12099,Palm Beach,Florida,22,2022-09-26 04:15:00
12101,Pasco,Florida,1,2022-09-26 04:15:00
12103,Pinellas,Florida,2973,2022-09-26 04:15:00
12113,Santa Rosa,Florida,2,2022-09-26 04:15:00
12115,Sarasota,Florida,3,2022-09-26 04:15:00
12111,St. Lucie,Florida,66,2022-09-26 04:15:00
12009,Brevard,Florida,29,2022-09-26 04:30:00
12011,Broward,Florida,58,2022-09-26 04:30:00
12015,Charlotte,Florida,19,2022-09-26 04:30:00
12021,Collier,Florida,63,2022-09-26 04:30:00
12071,Lee,Florida,1,2022-09-26 04:30:00
12073,Leon,Florida,2,2022-09-26 04:30:00
12083,Marion,Florida,6,2022-09-26 04:30:00
12085,Martin,Florida,1,2022-09-26 04:30:00
12086,Miami-Dade,Florida,71,2022-09-26 04:30:00
12093,Okeechobee,Florida,1,2022-09-26 04:30:00
12095,Orange,Florida,36,2022-09-26 04:30:00
12099,Palm Beach,Florida,22,2022-09-26 04:30:00
12101,Pasco,Florida,1,2022-09-26 04:30:00
12103,Pinellas,Florida,99,2022-09-26 04:30:00
12113,Santa Rosa,Florida,2,2022-09-26 04:30:00
12115,Sarasota,Florida,3,2022-09-26 04:30:00
12111,St. Lucie,Florida,66,2022-09-26 04:30:00
12009,Brevard,Florida,29,2022-09-26 04:45:00
12011,Broward,Florida,57,2022-09-26 04:45:00
12015,Charlotte,Florida,20,2022-09-26 04:45:00
12021,Collier,Florida,63,2022-09-26 04:45:00
12049,Hardee,Florida,0,2022-09-26 04:45:00
12057,Hillsborough,Florida,0,2022-09-26 04:45:00
12071,Lee,Florida,1,2022-09-26 04:45:00
12073,Leon,Florida,3,2022-09-26 04:45:00
12081,Manatee,Florida,0,2022-09-26 04:45:00
12083,Marion,Florida,1,2022-09-26 04:45:00
12085,Martin,Florida,1,2022-09-26 04:45:00
12086,Miami-Dade,Florida,57,2022-09-26 04:45:00
12093,Okeechobee,Florida,1,2022-09-26 04:45:00
12095,Orange,Florida,36,2022-09-26 04:45:00
12099,Palm Beach,Florida,22,2022-09-26 04:45:00
12101,Pasco,Florida,1,2022-09-26 04:45:00
12103,Pinellas,Florida,99,2022-09-26 04:45:00
12105,Polk,Florida,0,2022-09-26 04:45:00
12113,Santa Rosa,Florida,2,2022-09-26 04:45:00
12115,Sarasota,Florida,3,2022-09-26 04:45:00
12111,St. Lucie,Florida,66,2022-09-26 04:45:00
12009,Brevard,Florida,29,2022-09-26 05:00:00
12011,Broward,Florida,57,2022-09-26 05:00:00
12015,Charlotte,Florida,21,2022-09-26 05:00:00
12021,Collier,Florida,63,2022-09-26 05:00:00
