wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
AFG,2022-09-28 12:29,2022-09-29 22:43,2022-09-28 12:29,202209290200,SC,C,Y,152,CAN,PKZ225,30336.4375,2022-09-29 22:43,,,,,False,,,,,,,202209281229-PAFG-FZAK51-CWFNSB,SDB Sep 22,2022
AFG,2022-09-29 14:09,2022-09-29 22:43,2022-09-29 14:09,202209300230,GL,C,W,85,CAN,PKZ201,9584.681640625,2022-09-29 22:43,,,,,False,,,,,,,202209291409-PAFG-FZAK52-CWFWCZ,Sep 22,2022
AFG,2022-09-28 23:36,2022-09-29 22:43,2022-09-28 23:36,202209291445,GL,C,W,84,CAN,PKZ210,140415.796875,2022-09-29 22:43,,,,,False,,,,,,,202209282336-PAFG-FZAK52-CWFWCZ,Sep 22,2022
AFG,2022-09-28 12:29,2022-09-30 13:39,2022-09-28 12:29,202209290200,SC,C,Y,152,CAN,PKZ240,34480.640625,2022-09-30 13:39,,,,,False,,,,,,,202209281229-PAFG-FZAK51-CWFNSB,SDB Sep 22,2022
AJK,2022-09-28 23:05,2022-10-01 00:22,2022-09-28 23:05,202209291500,SC,C,Y,461,CAN,PKZ035,2540.43310546875,2022-10-01 00:22,,,,,False,,,,,,,202209282305-PAJK-FZAK51-CWFAJK,,2022
AFC,2022-09-29 11:49,2022-10-02 11:50,2022-09-29 11:49,202209300045,SC,C,Y,763,CAN,PKZ120,20321.904296875,2022-10-02 11:50,,,,,False,,,,,,,202209291149-PAFC-FZAK51-CWFAER,,2022
AFC,2022-09-27 11:49,2022-09-30 11:58,2022-09-27 11:49,202209280030,GL,C,W,533,CAN,PKZ155,92342.671875,2022-09-30 11:58,,,,,False,,,,,,,202209271149-PAFC-FZAK52-CWFALU,,2022
AFC,2022-09-27 11:49,2022-09-30 11:58,2022-09-27 11:49,202209280030,GL,C,W,533,CAN,PKZ165,55624.68359375,2022-09-30 11:58,,,,,False,,,,,,,202209271149-PAFC-FZAK52-CWFALU,,2022
AFC,2022-09-28 23:43,2022-10-02 00:00,2022-09-28 23:43,202209291345,SR,C,W,87,CAN,PKZ413,172662.0,2022-10-02 00:00,,,,,False,,,,,,,202209282343-PAFC-FZAK62-OFFALU,,2022
PSR,2022-09-24 00:45,2022-09-24 01:30,2022-09-24 00:45,202209240130,SV,C,W,239,EXP,AZC013,23901.330078125,2022-09-24 01:27,,,,,False,,,,,,,202209240045-KPSR-WUUS55-SVRPSR,GL,2022
AJK,2022-09-29 11:46,2022-10-01 00:22,2022-09-29 11:46,202209300330,SC,C,Y,462,CAN,PKZ036,8764.7548828125,2022-10-01 00:22,,,,,False,,,,,,,202209291146-PAJK-FZAK51-CWFAJK,,2022
AFC,2022-09-28 23:56,2022-10-01 13:00,2022-09-28 23:56,202209291300,GL,C,W,539,EXT,PKZ173,34095.15234375,2022-10-01 11:58,,,,,False,,,,,,,202209282356-PAFC-FZAK52-CWFALU,,2022
