wfo,utc_issue,utc_expire,utc_prodissue,utc_init_expire,phenomena,gtype,significance,eventid,status,ugc,area2d,utc_updated,hvtec_nwsli,hvtec_severity,hvtec_cause,hvtec_record,is_emergency,utc_polygon_begin,utc_polygon_end,windtag,hailtag,tornadotag,damagetag,product_id,fcster,vtec_year
AFC,2022-09-27 23:59,2022-09-28 23:56,2022-09-27 23:59,202209281300,SC,C,Y,758,CAN,PKZ175,47843.25,2022-09-28 23:56,,,,,False,,,,,,,202209272359-PAFC-FZAK52-CWFALU,,2022
AJK,2022-09-27 23:04,2022-09-28 11:35,2022-09-27 23:04,202209281715,SC,C,Y,458,CAN,PKZ052,18591.783203125,2022-09-28 11:35,,,,,False,,,,,,,202209272304-PAJK-FZAK52-CWFAEG,,2022
AFC,2022-09-28 11:49,2022-10-01 13:00,2022-09-28 11:49,202209290045,SC,C,Y,759,EXT,PKZ150,72996.140625,2022-10-01 11:58,,,,,False,,,,,,,202209281149-PAFC-FZAK52-CWFALU,,2022
AFC,2022-09-27 23:55,2022-09-29 11:49,2022-09-27 23:55,202209281315,GL,C,W,535,CAN,PKZ125,8507.2763671875,2022-09-29 11:49,,,,,False,,,,,,,202209272355-PAFC-FZAK51-CWFAER,,2022
AJK,2022-09-28 23:05,2022-09-30 11:44,2022-09-28 23:05,202209291500,SC,C,Y,461,CAN,PKZ022,501.8485412597656,2022-09-30 11:44,,,,,False,,,,,,,202209282305-PAJK-FZAK51-CWFAJK,,2022
AFC,2022-09-27 11:57,2022-09-28 23:49,2022-09-27 11:57,202209280045,SR,C,W,96,CAN,PKZ130,8020.56103515625,2022-09-28 23:49,,,,,False,,,,,,,202209271157-PAFC-FZAK51-CWFAER,,2022
AFC,2022-09-28 11:49,2022-09-28 23:56,2022-09-28 11:49,202209290045,SR,C,W,97,CAN,PKZ178,140218.90625,2022-09-28 23:56,,,,,False,,,,,,,202209281149-PAFC-FZAK52-CWFALU,,2022
AJK,2022-09-28 11:36,2022-09-29 23:49,2022-09-28 11:36,202209290545,SC,C,Y,460,CAN,PKZ053,1160.1375732421875,2022-09-29 23:49,,,,,False,,,,,,,202209281136-PAJK-FZAK53-CWFYAK,,2022
AJK,2022-09-29 11:46,2022-09-30 11:44,2022-09-29 11:46,202209300330,SC,C,Y,462,CAN,PKZ012,665.2103271484375,2022-09-30 11:44,,,,,False,,,,,,,202209291146-PAJK-FZAK51-CWFAJK,,2022
AFG,2022-09-28 12:34,2022-09-30 13:42,2022-09-28 12:34,202209290200,SC,C,Y,153,CAN,PKZ220,47887.265625,2022-09-30 13:42,,,,,False,,,,,,,202209281234-PAFG-FZAK52-CWFWCZ,SDB Sep 22,2022
