fips_code,county,state,customers_out,run_start_time
48453,Travis,Texas,93,2021-02-10 01:15:00
48465,Val Verde,Texas,6,2021-02-10 01:15:00
48471,Walker,Texas,1,2021-02-10 01:15:00
48475,Ward,Texas,1,2021-02-10 01:15:00
48485,Wichita,Texas,6,2021-02-10 01:15:00
48491,Williamson,Texas,128,2021-02-10 01:15:00
48507,Zavala,Texas,1,2021-02-10 01:15:00
48001,Anderson,Texas,2,2021-02-10 01:30:00
48019,Bandera,Texas,1,2021-02-10 01:30:00
48027,Bell,Texas,5,2021-02-10 01:30:00
48029,Bexar,Texas,16,2021-02-10 01:30:00
48037,Bowie,Texas,4,2021-02-10 01:30:00
48061,Cameron,Texas,4,2021-02-10 01:30:00
48085,Collin,Texas,2,2021-02-10 01:30:00
48089,Colorado,Texas,5,2021-02-10 01:30:00
48095,Concho,Texas,4,2021-02-10 01:30:00
48097,Cooke,Texas,1,2021-02-10 01:30:00
48113,Dallas,Texas,157,2021-02-10 01:30:00
48121,Denton,Texas,1,2021-02-10 01:30:00
48133,Eastland,Texas,4,2021-02-10 01:30:00
48135,Ector,Texas,1,2021-02-10 01:30:00
48139,Ellis,Texas,8,2021-02-10 01:30:00
48141,El Paso,Texas,45,2021-02-10 01:30:00
48157,Fort Bend,Texas,2,2021-02-10 01:30:00
48163,Frio,Texas,1,2021-02-10 01:30:00
48167,Galveston,Texas,4,2021-02-10 01:30:00
48181,Grayson,Texas,1,2021-02-10 01:30:00
48183,Gregg,Texas,4,2021-02-10 01:30:00
48187,Guadalupe,Texas,5,2021-02-10 01:30:00
48189,Hale,Texas,1,2021-02-10 01:30:00
48201,Harris,Texas,1308,2021-02-10 01:30:00
48215,Hidalgo,Texas,18,2021-02-10 01:30:00
48233,Hutchinson,Texas,1,2021-02-10 01:30:00
48235,Irion,Texas,41,2021-02-10 01:30:00
48245,Jefferson,Texas,38,2021-02-10 01:30:00
48249,Jim Wells,Texas,4,2021-02-10 01:30:00
48299,Llano,Texas,1,2021-02-10 01:30:00
48329,Midland,Texas,1,2021-02-10 01:30:00
48337,Montague,Texas,1,2021-02-10 01:30:00
48341,Moore,Texas,1,2021-02-10 01:30:00
48355,Nueces,Texas,14,2021-02-10 01:30:00
48391,Refugio,Texas,6,2021-02-10 01:30:00
48397,Rockwall,Texas,2,2021-02-10 01:30:00
48409,San Patricio,Texas,4,2021-02-10 01:30:00
48423,Smith,Texas,3,2021-02-10 01:30:00
48439,Tarrant,Texas,4158,2021-02-10 01:30:00
48451,Tom Green,Texas,4,2021-02-10 01:30:00
48453,Travis,Texas,93,2021-02-10 01:30:00
48465,Val Verde,Texas,6,2021-02-10 01:30:00
48471,Walker,Texas,1,2021-02-10 01:30:00
48475,Ward,Texas,1,2021-02-10 01:30:00
48485,Wichita,Texas,6,2021-02-10 01:30:00
48491,Williamson,Texas,128,2021-02-10 01:30:00
48507,Zavala,Texas,1,2021-02-10 01:30:00
48001,Anderson,Texas,2,2021-02-10 01:45:00
48019,Bandera,Texas,1,2021-02-10 01:45:00
48027,Bell,Texas,6,2021-02-10 01:45:00
48029,Bexar,Texas,20,2021-02-10 01:45:00
48037,Bowie,Texas,4,2021-02-10 01:45:00
48061,Cameron,Texas,4,2021-02-10 01:45:00
48085,Collin,Texas,2,2021-02-10 01:45:00
48089,Colorado,Texas,5,2021-02-10 01:45:00
48095,Concho,Texas,4,2021-02-10 01:45:00
48097,Cooke,Texas,1,2021-02-10 01:45:00
48113,Dallas,Texas,146,2021-02-10 01:45:00
48121,Denton,Texas,3,2021-02-10 01:45:00
48135,Ector,Texas,1,2021-02-10 01:45:00
48139,Ellis,Texas,8,2021-02-10 01:45:00
48157,Fort Bend,Texas,3,2021-02-10 01:45:00
48163,Frio,Texas,1,2021-02-10 01:45:00
48167,Galveston,Texas,4,2021-02-10 01:45:00
48181,Grayson,Texas,1,2021-02-10 01:45:00
48187,Guadalupe,Texas,5,2021-02-10 01:45:00
48201,Harris,Texas,1310,2021-02-10 01:45:00
48215,Hidalgo,Texas,19,2021-02-10 01:45:00
48233,Hutchinson,Texas,1,2021-02-10 01:45:00
48235,Irion,Texas,41,2021-02-10 01:45:00
48245,Jefferson,Texas,3,2021-02-10 01:45:00
48249,Jim Wells,Texas,4,2021-02-10 01:45:00
48299,Llano,Texas,1,2021-02-10 01:45:00
48329,Midland,Texas,1,2021-02-10 01:45:00
48337,Montague,Texas,1,2021-02-10 01:45:00
48341,Moore,Texas,1,2021-02-10 01:45:00
48355,Nueces,Texas,12,2021-02-10 01:45:00
48391,Refugio,Texas,6,2021-02-10 01:45:00
48397,Rockwall,Texas,2,2021-02-10 01:45:00
48409,San Patricio,Texas,4,2021-02-10 01:45:00
48423,Smith,Texas,1,2021-02-10 01:45:00
48439,Tarrant,Texas,1877,2021-02-10 01:45:00
48451,Tom Green,Texas,4,2021-02-10 01:45:00
48453,Travis,Texas,92,2021-02-10 01:45:00
48465,Val Verde,Texas,6,2021-02-10 01:45:00
48471,Walker,Texas,1,2021-02-10 01:45:00
48475,Ward,Texas,1,2021-02-10 01:45:00
48491,Williamson,Texas,130,2021-02-10 01:45:00
48507,Zavala,Texas,1,2021-02-10 01:45:00
48001,Anderson,Texas,1,2021-02-10 02:00:00
48019,Bandera,Texas,1,2021-02-10 02:00:00
48027,Bell,Texas,6,2021-02-10 02:00:00
48029,Bexar,Texas,12,2021-02-10 02:00:00
48037,Bowie,Texas,4,2021-02-10 02:00:00
48039,Brazoria,Texas,8,2021-02-10 02:00:00
48041,Brazos,Texas,1,2021-02-10 02:00:00
48061,Cameron,Texas,4,2021-02-10 02:00:00
48085,Collin,Texas,2,2021-02-10 02:00:00
48089,Colorado,Texas,5,2021-02-10 02:00:00
48095,Concho,Texas,4,2021-02-10 02:00:00
48097,Cooke,Texas,1,2021-02-10 02:00:00
48113,Dallas,Texas,145,2021-02-10 02:00:00
48121,Denton,Texas,71,2021-02-10 02:00:00
48135,Ector,Texas,1,2021-02-10 02:00:00
48139,Ellis,Texas,8,2021-02-10 02:00:00
48157,Fort Bend,Texas,2,2021-02-10 02:00:00
48163,Frio,Texas,1,2021-02-10 02:00:00
48167,Galveston,Texas,4,2021-02-10 02:00:00
48181,Grayson,Texas,1,2021-02-10 02:00:00
48187,Guadalupe,Texas,5,2021-02-10 02:00:00
48201,Harris,Texas,1305,2021-02-10 02:00:00
48215,Hidalgo,Texas,18,2021-02-10 02:00:00
48233,Hutchinson,Texas,1,2021-02-10 02:00:00
48235,Irion,Texas,41,2021-02-10 02:00:00
48245,Jefferson,Texas,2,2021-02-10 02:00:00
48249,Jim Wells,Texas,4,2021-02-10 02:00:00
48303,Lubbock,Texas,3,2021-02-10 02:00:00
48329,Midland,Texas,1,2021-02-10 02:00:00
48337,Montague,Texas,1,2021-02-10 02:00:00
48341,Moore,Texas,1,2021-02-10 02:00:00
48355,Nueces,Texas,12,2021-02-10 02:00:00
48391,Refugio,Texas,6,2021-02-10 02:00:00
48397,Rockwall,Texas,2,2021-02-10 02:00:00
48409,San Patricio,Texas,4,2021-02-10 02:00:00
48423,Smith,Texas,1,2021-02-10 02:00:00
48439,Tarrant,Texas,1841,2021-02-10 02:00:00
48451,Tom Green,Texas,4,2021-02-10 02:00:00
48453,Travis,Texas,91,2021-02-10 02:00:00
48465,Val Verde,Texas,6,2021-02-10 02:00:00
48471,Walker,Texas,1,2021-02-10 02:00:00
48475,Ward,Texas,1,2021-02-10 02:00:00
48491,Williamson,Texas,129,2021-02-10 02:00:00
48497,Wise,Texas,24,2021-02-10 02:00:00
48507,Zavala,Texas,1,2021-02-10 02:00:00
48001,Anderson,Texas,1,2021-02-10 02:15:00
48027,Bell,Texas,6,2021-02-10 02:15:00
48029,Bexar,Texas,4,2021-02-10 02:15:00
48037,Bowie,Texas,4,2021-02-10 02:15:00
48039,Brazoria,Texas,8,2021-02-10 02:15:00
48041,Brazos,Texas,1,2021-02-10 02:15:00
48061,Cameron,Texas,4,2021-02-10 02:15:00
48085,Collin,Texas,2,2021-02-10 02:15:00
48089,Colorado,Texas,5,2021-02-10 02:15:00
48095,Concho,Texas,4,2021-02-10 02:15:00
48097,Cooke,Texas,1,2021-02-10 02:15:00
